outlet,tiktok handle,platform,media_type,usable (human review),profile_type,notes
New York Times,,online_news,print_native,,outlet,
washingtonpost.com,,online_news,print_native,,,
csmonitor.com,,online_news,print_native,,outlet,
USA Today,,online_news,print_native,,outlet,
latimes.com,,online_news,print_native,,outlet,
nypost.com,,online_news,print_native,,outlet,
chicagotribune.com,,online_news,print_native,,outlet,
chron.com,,online_news,print_native,,outlet,
Dallas Morning News,,online_news,print_native,,outlet,
Newsday,,online_news,print_native,,outlet,
sfgate.com,,online_news,digital_native,,outlet,
Boston Globe,,online_news,,,outlet,
startribune.com,,online_news,print_native,,outlet,
Tampa Bay Times,,online_news,print_native,,outlet,
Orange County Register,,online_news,print_native,,outlet,
Sac Bee,,online_news,print_native,,outlet,
miamiherald.com,,online_news,print_native,,outlet,
Kansas City Star,,online_news,print_native,,outlet,
Baltimore Sun,,online_news,print_native,,outlet,
San Jose Mercury News,,online_news,print_native,,outlet,
Milwaukee Journal Sentinel,,online_news,print_native,,outlet,
Orlando Sentinel,,online_news,print_native,,outlet,
sun-sentinel.com,,online_news,print_native,,outlet,
Columbus Dispatch,,online_news,print_native,,outlet,
Pittsburgh Post-Gazette,,online_news,print_native,,outlet,
St.Paul Pioneer-Press,,online_news,print_native,,outlet,
Omaha World-Herald,,online_news,print_native,,outlet,
arkansasonline.com,,online_news,,,outlet,
The Buffalo News,,online_news,print_native,,outlet,
Hartford Courant,,online_news,print_native,,outlet,
Talking Points Memo,,online_news,digital_native,,outlet,
Daily Kos,,online_news,digital_native,,outlet,
Hot Air,,online_news,digital_native,,outlet,
RedState,,online_news,digital_native,,outlet,
Taegan Goddard's Political Wire,,online_news,digital_native,,outlet,
The New Replublic,,online_news,print_native,,outlet,
FactCheck,,online_news,digital_native,,outlet,
RealClearPolitics,,online_news,digital_native,,outlet,
Reuters,,online_news,other,,outlet,
foxnews.com,,online_news,video_broadcast,,outlet,
CNN,,online_news,video_broadcast,,outlet,
npr.org,,online_news,video_broadcast,,outlet,
newsweek.com,,online_news,,,outlet,
usnews.com,,online_news,print_native,,outlet,
newyorker.com,,online_news,print_native,,outlet,
Forbes,,online_news,print_native,,outlet,
fortune.com,,online_news,print_native,,outlet,
theatlantic.com,,online_news,print_native,,outlet,
Mother Jones,,online_news,print_native,,outlet,
Harper's Magazine,,online_news,print_native,,outlet,
thenation.com,,online_news,,,outlet,
National Review,,online_news,print_native,,outlet,
NewsBusters,,online_news,digital_native,,outlet,
Raw Story,,online_news,digital_native,,outlet,
cleveland.com,,online_news,digital_native,,outlet,
UPI,,online_news,other,,outlet,
thedailybeast.com,,online_news,digital_native,,outlet,
