"name
(ranked by # of front page stories)",Outlet,usable (as individual),tiktok handle,url,followers,notes,"journalist as creator info (if they produce videos under an outlet's masthead, list the outlet's handle)",X handle (for reference)
Tony Diver,Daily Telegraph +1,0,,,,"UK-based, not on TT",,@Tony_Diver
Michael Wilner,Los Angeles Times,0,,,,no personal account. posts under outlet's handle,latimes,@mawilner
Jon Gambrell,Philadelphia Inquirer +5,0,,,,no personal account. posts under outlet's handle,"apnews, baltimoresun",@jongambrellap
Ana Ceballos,Los Angeles Times +1,0,,,,couldn't find on TT,,@anaceballos_
Anna Orso,Philadelphia Inquirer,0,,,,couldn't find on TT,,@anna_orso
Pippa Crerar,The Guardian,0,,,,"no personal account. posts under outlet's handle
Note: not US-based","guardianpolitics, guardian",@PippaCrerar
Alexander Ward,Wall Street Journal,0,,,,no personal account. posts under outlet's handle,wallstreetjournal,@alexbward
Michael Loria,Arizona Republic,0,,,,couldn't find on TT,,@michael_loria_
Jeremy Gorner,Chicago Tribune,0,,,,couldn't find on TT,,@JeremyGorner
Charles Hymas,Daily Telegraph,0,,,,UK-based,,@charleshymas
Walker Orenstein,Minnesota Star Tribune,0,,,,no personal account. posts under outlet's handle,startribune,@walkerorenstein
Nina Moske,Tampa Bay Times,0,,,,couldn't find on TT,,@ninamoske
Daniel Gonzalez,Arizona Republic,0,,,,no personal account. posts under outlet's handle,azcentral,@azdangonzalez
Dan Diamond,Washington Post +1,0,,,,couldn't find on TT,,@ddiamond
Kevin Rector,Los Angeles Times,0,,,,no personal account. posts under outlet's handle,latimes,@kevrector
Sam Janesch,Philadelphia Inquirer,0,,,,"no personal account. 
*Doesn't appear in videos for outlet, but is often listed in credits as having shot/written them",phillyinquirer,@samjanesch
Colleen Wright,Tampa Bay Times,0,,,,no personal account. posts under outlet's handle,tampabaytimes,@Colleen_Wright
Benoit Faucon,Wall Street Journal,0,,,,couldn't find on TT,,@benoitfaucon
Jason Meisner,Chicago Tribune,0,,,,couldn't find on TT,,@jmetr22b
Jessica Elgot,The Guardian,0,,,,couldn't find on TT,,@jessicaelgot
Deena Winter,Minnesota Star Tribune,0,,,,no personal account. posts under outlet's handle,startribune,@deenafaywinter
Claire Partain,Houston Chronicle,0,,,,no personal account. posts under outlet's handle,houstonchronicle,@partain_claire
Susannah George,Washington Post +1,0,,,,couldn't find on TT,,@sgreports
Daniel Martin,Daily Telegraph +1,0,,,,not US-based,,@Daniel_J_Martin
Michael Van Sickler,Tampa Bay Times,0,,,,no personal account. posts under outlet's handle,tampabaytimes,@mikevansickler
Christopher Cann,Arizona Republic,0,,,,"no personal account. posts under outlet's handle
Now at USA Today",usatoday,@ChrisCannFL
Matt Degrood,Houston Chronicle,0,,,,no personal account. posts under outlet's handle,houstonchronicle,@DegroodMatt
Stephanie Murray,Arizona Republic,0,,,,no personal account. posts under outlet's handle,azcentral,@stephanie_murr
